header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,wifi
considering flying with them again,R Malders,2026-04-08,Netherlands,"I recently flew business class with Etihad Airways and had an overall strong and well-organized experience. From boarding to arrival, the service, comfort, and catering were of a high standard and clearly tailored to a premium product. The cabin crew was professional, attentive, and consistent throughout the flight, which made for a relaxed and comfortable journey. The quality of the food was good, with a balanced menu and well-presented food. I sat in seat 10A (window seat), which offered a pleasant experience in terms of comfort and space. At the same time, there are a few points that could be improved to take the experience to an even higher level. Seat privacy could be better, especially for passengers who value a more secluded and quiet environment in business class. Additionally, flexibility regarding transfers in the event of delays could be further improved. A more proactive and solution-oriented approach would enhance the customer experience. With a few targeted improvements in privacy and operational flexibility, this level could grow further from good to excellent. All in all, a very positive experience. I would recommend Etihad Airways for business class travel and am certainly considering flying with them again.  Ik heb recent business class gevlogen met Etihad Airways en overall een sterke en goed georganiseerde ervaring gehad. Vanaf boarding tot aankomst waren service, comfort en catering van hoog niveau en duidelijk afgestemd op een premium product. De cabinecrew was professioneel, attent en consistent gedurende de vlucht, wat zorgde voor een ontspannen en comfortabele reis. De kwaliteit van het eten was goed, met een gebalanceerd menu en verzorgde presentatie. Ik zat op stoel 10A (window seat), wat qua comfort en ruimte een prettige ervaring bood. Tegelijkertijd zijn er enkele punten die verbeterd kunnen worden om de ervaring naar een nog hoger niveau te tillen. De privacy van de stoelen kan beter, zeker voor passagiers die waarde hechten aan een meer afgesloten en rustige omgeving in business class. Daarnaast kan de flexibiliteit bij transfers in geval van vertragingen verder worden verbeterd. Een meer proactieve en oplossingsgerichte aanpak zou de klantbeleving versterken. Met enkele gerichte verbeteringen in privacy en operationele flexibiliteit kan dit niveau verder doorgroeien van goed naar uitstekend. Al met al een zeer positieve ervaring. Ik zou Etihad Airways aanbevelen voor business class reizen en overweeg zeker om opnieuw met hen te vliegen.",,Solo Leisure,Business Class,Amsterdam to Phuket via Abu Dhabi,April 2026,yes,Verified,8,4.0,5.0,4.0,3.0,4,4.0,4.0
We will never fly Etihad again,E Valtoure,2026-04-06,Portugal,"Between Abu Dhabi and Lisbon, Etihad now uses a charter company, Hi Fly. A couple of weeks before our flight, we received an email informing us of this change. After checking, it appears that Hi Fly is not an airline but a charter company. The aircraft was an old A330, the crew was Portuguese. Basically, what you get is the level of a low cost airline for the price of Etihad. Old seats, almost non existent IFE: the large screen above your feet doesn't work, nor does the remote control (even for the lights). You need to use your own tablet and earset, scan a QR code hidden on the armrest, and get access to a list of maybe 10 movies, none of them worth watching. The crew was unprofessional and noisy (they all gathered in the front pantry to chat loudly, even with ear plugs I couldn't sleep). I complained to Etihad who couldn't care less. I had to press them to reply to me, which they finally did. Their position is that Hi Fly is their ""trusted partner"" and that I have no reason to complain. So, know it, between LIS and AUH, you will pay for Etihad and fly Low Cost. Of course, they play on the lack of alternative when you fly to the Far East from Lisbon. We will never fly Etihad again.",A330,Couple Leisure,Business Class,Abu Dhabi to Lisbon,February 2026,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,
"Terrible, terrible airline",Richard Gregson,2026-03-30,United Kingdom,"This is the worst experience I have ever had with an airline or travel company. The level of communication and assistance offered by Etihad after the US and Israel attacked Iran, disrupting airspace in the middle east, was non-existent. We had flown out to visit our son on the 19th February, a week before hostilities broke out. Due to fly home on the 7th March, our flight was first rescheduled earlier the same day and then cancelled 6 hours before take off. The only emails we received after that were Etihad trying to get get us to accept a refund for the return leg so they could cut us loose. We ended up having to book tickets home from Singapore via Tokyo 2 weeks later and £5000 more than planned. I can only imagine the situation some travellers found themselves in if they didn't have any spare cash. Terrible, terrible airline. In contrast, Japan Airlines and British Airways were superb (aside from charging £1600 each for a one way ticket home).",,Couple Leisure,Economy Class,Manchester to Kuala Lumpur via Abu Dhabi,March 2026,no,Verified,1,,,,1.0,1,,
now describe them as a budget airline,Ian Horrocks,2026-03-21,United Kingdom,"Etihad now add ridiculous charges after booking. I would not mind if they were transparent, but they are not. Customer service do not know the meaning of the word. It is very disappointing as they used to be one of the best. Would now describe them as a budget airline, other than their prices. In flight service also simply average. An extremely poor third when compared to Emirates and Qatar.",,Couple Leisure,Business Class,London to Bangkok via Abu Dhabi,March 2026,no,Verified,1,2.0,4.0,2.0,1.0,1,1.0,3.0
risk of being denied boarding,Hussain Munniwala,2026-02-25,United States,"We recently went through a horrific experience with Etihad Airways. The airline appears to be overbooking its flights. The experience begins when I attempted to check in online and the system refuses to allow me to do so. At the check-in counter, the staff politely refuse to issue my boarding pass and direct me to another counter for further assistance. The staff at that counter ask me to wait for 1–2 hours and say that if space becomes available, I  will be allowed to board the flight. At first, we (a group of four) thought this was just a one-off incident, after numerous arguments and discussions with third-party staff we were left with no option but to take the next available flight to Colombo the following day. They offered us hotel accommodation 30–40 minutes from the airport. Upon reaching the hotel around 3:00 a.m. we came to the conclusion that this seems to be a policy by Etihad to generate additional revenue. Therefore, please be very careful when choosing to fly with Etihad, especially if you are short on time or have a tight connecting flight, as there is a significant risk of being denied boarding.",,Business,Economy Class,Abu Dhabi to Colombo,February 2026,no,Verified,1,2.0,1.0,1.0,1.0,1,,
inconsistent service standards,S Karish,2026-02-22,Canada,"Etihad’s A380 has inconsistent service standards on Indian subcontinent routes. If you are flying for the seat, you will be happy. If you are flying for a seamless, premium end-to-end journey, you may find the inconsistencies and upselling frustrating. On the YYZ–AUH leg, the cabin was exceptionally quiet, spacious, and the crew was highly efficient. However, the experience becomes fragmented on regional legs (AUH–COK). Service quality dipped significantly, and one crew member lacked the basic professional tact and sensitivity expected in a premium cabin. Beyond service, two major drawbacks hinder the experience. Compared to other major carriers, the Etihad app is insufficient. It lacks essential real-time luggage tracking, which is a standard expectation in 2026. Despite holding a premium Business Class ticket, the airline continues to play ""upsell games"" for seat selection. This nickel-and-diming is a low-cost carrier tactic that devalues their brand. While check-in at YYZ was straightforward, the boarding process in Abu Dhabi remains disorganized and needs streamlining to match the quality of the new Terminal A.",A380,Couple Leisure,Business Class,Toronto to Kochi via Abu Dhabi,February 2026,yes,Verified,4,4.0,4.0,4.0,3.0,4,4.0,
"person with empathy, kindness",F Sahita,2026-02-20,Germany,"On arriving at Frankfurt, I am informed my manual extension of German resident permit is not recognised in Abu Dhabi.  I wasn't able to board the flight but I met the boarding crew Alexander tried every means to help me get on the flight or at least the next one. I have never seen anyone try so hard to help someone, let alone a stranger. A gem of a person with empathy, kindness, patience, commitment and responsibility. Thank you so much Alexander, I appreciate your efforts.",,Solo Leisure,Economy Class,Frankfurt to Bangalore via Abu Dhabi,February 2026,yes,Verified,8,,,,5.0,3,,
disappointing experience with refund,A Thaha,2026-02-18,United Arab Emirates,Extremely disappointing experience with refund process. I was promised a refund within 45 business days for a ticket booking due to a date mismatch. It's been over 3 months with no refund or clear update despite multiple follow-ups. Customer care was unhelpful and didn't provide any concrete solution.,,Solo Leisure,Economy Class,Kochi to Abu Dhabi,November 2025,no,Verified,1,,,,,1,,
Very disappointing experience,Mahmod Abu hamed,2026-02-18,Israel,"Very disappointing experience with Etihad Airways at the Phuket check-in counter. The service attitude was extremely unhelpful and unprofessional. The staff showed no willingness to assist or explain anything properly. This has nothing to do with the long waiting time — although the queue was the longest in the terminal with very few open counters — but everything to do with how we were treated. We were 1 kg overweight on our baggage amd were told we must pay 100 USD for excess weight. When we asked if we could remove 1 kg from the suitcase, we were told that we would need to leave the counter and rejoin the queue — meaning another 30–40 minutes of waiting. There was no flexibility, no effort to help, and no customer-oriented thinking. To make things worse, the staff members were whispering among themselves while looking at us, which felt disrespectful and unprofessional. Very disappointing customer service experience.",,Solo Leisure,Economy Class,Phuket to Abu Dhabi,February 2026,no,Not Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
Etihad refused any reimbursement,Alena Totskikh,2026-02-12,Cyprus,"We had a holiday planned from 10 to 15 January on the route Larnaca – Male via Abu Dhabi. We booked separate tickets: Larnaca–Abu Dhabi return with Wizz Air, and Abu Dhabi–Male return with Etihad (our first time flying Etihad). On 10 January, just as we were leaving our home to start the trip, we received a message that our Abu Dhabi–Male flight was delayed by 24 hours and moved to 11 January. This meant we immediately lost one full day of our very expensive Maldives vacation. After arriving in Abu Dhabi, we went to the Etihad Travel Desk. We spent around three hours speaking to a manager. We were told we were entitled to a hotel for one night and a small compensation. I specifically asked if we could rebook our return flights, because our holiday dates were fixed and we were losing a day. The manager said it was possible, but refused to do it at that moment, explaining that a long queue had formed behind us and he had to assist other passengers as well. We were taken by bus to the hotel. The next day (Sunday), we tried to find an open Etihad office in Abu Dhabi, but could not. At the airport, the queues were so long that we could not wait for our turn because we had to depart. We flew to the Maldives. There was no Etihad office there either. To avoid losing another day, we rebooked our return for 16 January instead of 15 January. As a result, we had to buy new tickets at our own expense: Male–Abu Dhabi and Abu Dhabi–Larnaca. I contacted Etihad customer support and explained the situation, including the overbooking and the fact that we had to pay for new return flights ourselves because the Travel Desk did not help when we asked. The response was extremely disappointing: Etihad refused any reimbursement, stating that the issue should have been solved at the Travel Desk. When I explained that the manager refused to assist at that time, I was told nothing could be done. This was a very stressful experience and a complete lack of customer care. I rate Etihad 1/10 and I will not fly with them again.",,Family Leisure,Economy Class,Larnaca to Male via Abu Dhabi,January 2026,no,Verified,2,3.0,3.0,3.0,1.0,3,3.0,1.0
its a one time for me,C Hewitt,2026-02-10,Australia,They exclude access to Lounges on the Business Value Fares. Guess its a one time for me.,Boeing 787,Business,Business Class,Sydney to Milan via Abu Dhabi,February 2026,no,Not Verified,2,3.0,3.0,3.0,1.0,2,3.0,3.0
extremely chaotic and poorly managed,Nadia Meyers,2026-02-04,Belgium,"As a result of missing our connecting flight in Kuwait with Kuwait Airways, we were compelled to stay overnight at a hotel in Kuwait. On the following day, contrary to our original booking, we were not transported onward with Kuwait Airways. Instead, without any consultation or our consent, we were rebooked onto a flight operated by Etihad Airways to Colombo. This flight was extremely chaotic and poorly managed. The overall level of service was unacceptable and had a significant negative impact on our travel experience. This matter is serious given that we have previously encountered substantial issues with Etihad Airways, which was the reason we had deliberately chosen not to travel with this airline again. Despite this, we were effectively compelled to fly with Etihad once more, resulting again in a negative experience.",,Couple Leisure,Economy Class,Kuwait to Colombo,January 2026,no,Not Verified,2,1.0,1.0,2.0,1.0,1,2.0,1.0
experience left me feeling cheated,Z Maqsood,2026-01-30,Saudi Arabia,"Don’t pay for the “change flight” option without reading the fine print very carefully. The flexibility is only valid for 4 months, is limited to a single change, and any additional changes incur extra fees. This information is not clearly disclosed elsewhere during purchase. On top of that, the fare difference charged for changes is almost as high as the cost of buying a new ticket, which defeats the purpose of paying for flexibility in the first place. Overall, the carrier feels disingenuous when it comes to hidden costs and lack of transparency. The experience left me feeling cheated, and it comes across as unprofessional and sleazy.",,Business,Economy Class,Bangalore to Abu Dhabi,November 2025,no,Verified,1,3.0,3.0,3.0,3.0,1,,
they are getting worse and worse,A Larkin,2026-01-27,United Kingdom,"Absolutely terrible experience. Delayed by two days - but it was the customer services and lack of care that let them down. Not interested in apologising, not interested in helping a family with children. They don't abide by basic care priniciples as laid out in their own charter. Horrendous compensation. I have traveled a few times now with Etihad and they are getting worse and worse. Food on plane was awful. ill thought out, stale bread. Small portions, treated like low class. Will avoid this airline at all costs next time as never want to deal with their dreadful customer services team who have no respect for people who have paid money. 12K to fly a family of 5 to Sydney and back and a really woeful experience from start to finish. Do better.",,Family Leisure,Economy Class,Sydney to London via Abu Dhabi,January 2026,no,Not Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
absolute worst customer service,Andrin Koller,2026-01-27,Switzerland,"The absolute worst customer service available. They didn't let me board a flight because ""I didn't have a visa"". Turns out I didn't even need a visa for the country the flight was going to. I had to pay a second flight and then they told me I can't take the return flight previously booked together with the first ""missed"" flight because I haven't taken that one. Then they passed me forth and back between different customer support agents, ""escalations"" and random ""airline policy"" messages. Lastly, in the flight I ended up taking the food was bad even though I usually like airline food, the seats uncomfortable and the staff semi.",,Solo Leisure,Economy Class,Zürich to Nairobi via Abu Dhabi,January 2026,no,Verified,1,2.0,3.0,2.0,1.0,1,1.0,2.0
again they asked for extra cash,R Hardianis,2026-01-19,Greece,"I flew from Athens to Phuket via Abu Dhabi. On arrival at the airport in Athens, I didn't have access to the business class lounge. I didnt care, as by flight was early in the morning. On arrival in AbuDhabi went to the Guest Services and I was told that I need to get to the hotel they booked on my own. On arrival at the hotel, I was surprised to learn that it was a 4* hotel, and I had the most cheap room type available. Next day, I went to the breakfast lounge and I realized that my accommodation didn't include breakfast. On arrival at the airport after 2 days, again they asked for extra cash to enter the business class lounge.",,Business,Business Class,Athens to Phuket via Abu Dhabi,January 2026,no,Verified,1,3.0,4.0,3.0,1.0,1,1.0,1.0
they don’t care what service they give|,Kayte Milcoy,2026-01-16,United Kingdom,"A passenger in Manchester boarded our flight who had had nose bleeds and  we had to wait 2hrs for him to be removed from the plane this is classed as a medical offload meaning no compensation as they wipe their hands of any responsibility towards it! Not only did we have this drama we were crammed onto the world’s oldest plane where we had paid for extra legroom and had about a cm of space extra! The entertainment system didn’t work and when it came to land the couple in front still had their seats reclined staff did a quick once over the cabin but paid no attention or care to it. We landed in Abu Dhabi and had to stay over due to missing our connection, we waited nearly 2hours at the airport for our luggage as it had been sent to a connections zone and special requested to be returned to the belt and then a further 30 minutes for a taxi to the hotel where they put us….in the middle of nowhere and was undergoing renovations so was an absolute state! Once arriving home to express my concerns over there health and safety, lack of care and service they have washed their hands of us and closed the case, they don’t care what service they give you they just want your money.",,Couple Leisure,Economy Class,Manchester to Tokyo via Abu Dhabi,December 2025,no,Verified,1,5.0,1.0,1.0,1.0,1,1.0,1.0
could not recommend this airline,Julia Franck,2026-01-14,Germany,"My flight from Melbourne to Abu Dhabi (flight EY 461 on 04/01/26) was delayed due to the late arrival of the aircraft. As a result of this delay, I missed my scheduled connecting flight from Abu Dhabi to Frankfurt, which was originally booked as a one-stop journey. I was rebooked by Etihad on an alternative routing via Zurich (EY 143), which converted my journey into a two-stop itinerary and included a layover of approximately five hours in Zurich. In addition, the rebooked flight to Zurich was delayed because flight preparations took longer than planned. Due to the combination of the initial delay, the extended rerouting, and the additional delay on the rebooked flight, I arrived at my final destination, Frankfurt, more than six hours later than my original scheduled arrival time (12:30 instead of 6:00am). I paid a higher fare specifically for a one-stop itinerary, and the rebooking significantly increased the overall travel time as well as expenses at the layover airport and inconvenience and expenses after arriving in Frankfurt due to missed train due to delay. I then contacted Etihad guest relations to request compensation or at the very least reimbursement for the costs incurred due to the delay and rebooked flight. After waiting a week for a response I received a response basically saying it's not their fault and I should use my insurance and that's it.  I could not recommend this airline, especially if you are traveling long distances do not expect good customer service.",,Solo Leisure,Economy Class,Melbourne to Frankfurt via Abu Dhabi,January 2026,no,Verified,1,1.0,2.0,1.0,1.0,1,2.0,2.0
a serious downgrade,T Kanyenko,2026-01-13,United Arab Emirates,"My recent flight from Abu Dhabi to Russia left me deeply disappointed and shocked by how drastically Etihad’s standards have fallen. The flight was operated on an A320, a narrow-body aircraft that is unsuitable for such a long international route. Spending many hours in such a small cabin was extremely uncomfortable, inadequate ventilation, and stuffiness throughout the flight.  Flying such a long distance in a small aircraft for the same price as a full-service long-haul airline is not just uncomfortable — it feels humiliating. The situation was made even worse by the extremely poor and limited catering. Due to the heat and lack of proper ventilation, water was repeatedly distributed in small plastic cups instead of bottles, which further emphasized the level of cost-cutting and downgrade. After take-off, the cabin lights were never properly turned on. The entire flight was conducted almost in complete darkness. Even during meal service, only minimal night lighting under the panels was used, and later all lights were switched off completely.  During boarding, cabin crew attempted to collect hand luggage from passengers, including small cabin-size suitcases, claiming there was not enough overhead space. This caused tension and frustration. Only after objections from passengers were people allowed to keep their cabin bags. Both in Abu Dhabi and upon arrival, boarding and disembarkation were carried out via buses to a remote stand. Boarding was done in two separate bus loads. Travelling with multiple bags, this was physically exhausting and completely unexpected from Etihad Airways and a major international hub.  Etihad’s current “optimization” feels like a serious downgrade and an insult to loyal customers.",A320,Family Leisure,Economy Class,Moscow to Abu Dhabi,January 2026,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
worst airline experience,Carl Bengelsdorff,2026-01-12,Italy,"My recent business class experience with Etihad Airways was, by far, the worst airline experience I have ever had. Even more disappointing than the flight issues themselves was the way Etihad handled the situation afterward, which was worse than what I have experienced with some low-cost airlines. Outbound Flight: Milan – Singapore (via Abu Dhabi) Abu Dhabi – Singapore The inflight entertainment system was not working. The compensation offered was close to ridiculous, and I was told on board that I could only receive it in the form of Etihad miles. Arrival in Singapore – Missing Luggage Upon arrival in Singapore, my luggage did not arrive. As a result, I spent 2 out of my 5 days in Singapore without my luggage. When I asked the Etihad lost-and-found agent how much I was allowed to spend on essential items, I was told that he did not know. This is unacceptable, as an airline should clearly inform passengers of the permitted expense limits. In the end, I was offered USD 50 for the delayed luggage, which I find almost offensive—especially considering that a business class passenger was left without luggage for nearly half of the trip. It also raises the question of how Etihad treats economy class passengers in similar situations. Return Flight: Singapore – Milan At check-in, I was moved from the window seat I had booked months in advance to a middle seat. Upon arrival in Milan, I discovered that my luggage was damaged, with personal belongings falling out. I reported the issue and later received an email from Etihad instructing me to visit the nearest authorized repair shop to obtain a damage assessment. The closest official repair shop is over one hour away, meaning Etihad expects me to waste half a day for something that should clearly be handled by the airline. More reputable airlines arrange for a courier to collect the luggage and return it repaired or replaced, without requiring the passenger to do anything. Poor Customer Service Follow-Up In total, I have sent 17 emails and 10 messages via Instagram. Every response has been the same: that Etihad is “looking into the matter.” More than two months have now passed without any resolution. I chose to try Etihad as I expect to travel extensively in that region in the future. However, this experience has been terrible in every respect, and I absolutely do not recommend Etihad to anyone. By far the worst airline I have flown with in the past 25 years.",,Business,Business Class,Singapore to Milan via Abu Dhabi,October 2025,no,Verified,1,3.0,1.0,3.0,1.0,1,1.0,
complete failure in service culture,N Garsen,2026-01-08,South Africa,"This feedback is yet another disappointing Etihad codeshare experience operated by Wamos Air, and raises serious concerns. Shortly after being seated and while passengers were still boarding, A flight attendant abruptly and aggressively removed two jackets from an overhead stowage compartment, declaring that this was “not allowed.” The jackets were thrown to the wrong passenger, creating confusion and embarrassment. The rightful owner, seated in row 40, then placed the jacket under his seat. The same flight attendant returned, stating, again loudly, that no items could be placed under the seat because it was an emergency row. The jacket was ultimately returned to the same overhead bin where it had been placed in the first place. The cabin crew displayed consistently rude and dismissive behaviour. No name badges were clearly visible or worn; where they were worn, the print was so small it was unreadable, making it nearly impossible for passengers to identify, compliment, or formally complain about a crew member. Midflight, when I approached the same flight attendant involved in the jacket incident and politely requested a coffee and a bottle of water, her response was dismissive: I was told to “go to the back and get it myself.” When I asked whether she was not serving passengers, she walked away without response. Cabin crew are the face of the airline, and this behaviour reflects a complete failure in service culture. The aircraft configuration was clearly outdated and poorly maintained, with: Broken TV monitors, Broken food trays, Broken seats, Lavatory drains becoming blocked mid-flight, No travel or location map on the inflight entertainment system and No Arabic language options on TV or radio. For an airline representing the UAE, the absence of Arabic content is unacceptable. Passengers could not even track their journey due to the missing flight map, an elementary inflight feature.  If Etihad intends to continue such partnerships, it has a responsibility to communicate that the experience will not match Etihad-operated flights.",A330,Business,Economy Class,Manila to Abu Dhabi,January 2026,no,Verified,1,1.0,1.0,2.0,2.0,1,1.0,1.0
